date,R0,R20,R65,R80,D0,D20,D65,D80,H0,H20,H65,H80,R0,R20,R65,R80,DH0,DH20,DH65,DH80,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,BRIGITATTACK,FEAR,BETAFACTOR,BFACTOR,F0,F20,F65,F80,FALL,S0,S20,S65,S80,SALL
2021-03-12,203813.790002378,949670.929213738,163610.40409211,60744.0078415616,4,2118,10264,11052,1033,30855,44827,29155,991,26104,31506,17333,4,1896,9602,10046,531142.038645686,846697.092504103,3,76,1,0,1.18603349096028,0.354469758574116,0.446078525879955,1,0.5,1,2.91610938506222,0,0.028508965403533,0.115282550787947,0.340539967027241,0.05117982834034,0,0.026858304363073,0.020087506799144,0.304918309854826,0.028158567203348
2021-03-13,205463.417758133,956514.094483275,164762.138995304,60980.0777285517,4,2144,10351,11117,1039,31184,45236,29303,999,26399,31774,17442,4,1924,9706,10134,534503.269675546,853216.459289718,3,25,2,0,0.698945562705022,0.355372774325298,0.45341070750448,1,0.5,1,2.90200964464969,0,0.029337560632825,0.12230538399615,0.34174480839416,0.05284124036767,0,0.026900943146313,0.020172600313643,0.307327992588663,0.028278354682966
2021-03-14,206958.758768269,962444.266669421,165920.691489644,61265.6743899472,4,2163,10484,11191,1047,31494,45618,29461,1007,26686,32042,17537,4,1952,9803,10200,537525.378832348,859064.012484934,1,26,1,0,0.371152798082679,0.355928762587224,0.460742889129005,1,0.5,1,2.88790990423715,0,0.029849249331097,0.127373802074839,0.342763968072116,0.053999892012174,0,0.026972959960578,0.020255098786439,0.308923540773433,0.028383554460148
2021-03-15,208619.488961886,969370.048533447,167159.527176799,61568.6713536786,4,2195,10615,11264,1056,31794,45976,29617,1013,26984,32290,17633,4,1976,9903,10288,540991.42865691,865726.307368902,2,48,2,0,1.04291474115255,0.357239928920087,0.46807507075353,1,0.495,1,2.87381016382462,0,0.030732171290596,0.138833760698936,0.335047072975215,0.056132394916776,0,0.027473313221814,0.020810141384484,0.32252971428951,0.029201026862038
2021-03-16,210251.225198492,976052.563031289,168342.692913133,61807.9554619112,4,2230,10720,11340,1060,32096,46387,29767,1020,27268,32540,17727,4,2000,10018,10354,544389.433734301,872065.002870525,5,65,0,0,1.43344245689165,0.35704896636833,0.475407252378055,1,0.495,1,2.85971042341208,0,0.032356481296894,0.15374933250079,0.326131717673243,0.059212429106255,0,0.028001968799186,0.021435997097845,0.339985124390605,0.030179057501637
2021-03-17,211719.701987808,982582.965694363,169496.271738536,62051.3927906213,4,2258,10822,11408,1076,32392,46728,29924,1030,27576,32807,17834,4,2035,10131,10421,547700.253177363,878150.079033966,5,63,1,0,1.27342836713928,0.358080916337777,0.48273943400258,1,0.495,1,2.84561068299955,0,0.033577567235965,0.168840175686304,0.318653741848617,0.062150581786322,0,0.028608986908065,0.022124183149732,0.356065267698775,0.031155498455714
2021-03-18,213036.513776884,988706.099285894,170582.208573985,62265.7766761314,4,2272,10931,11498,1082,32688,47085,30075,1039,27878,33055,17923,4,2069,10225,10477,550823.851418091,883766.746894804,3,42,0,0,1.21277772058904,0.359782324660161,0.490071615627105,1,0.495,1,2.83151094258701,0,0.034650417383601,0.184296358849665,0.307893027131092,0.06495558959988,0,0.029285579157015,0.0227965340183,0.376259349568522,0.032310171210066
2021-03-19,214289.940624584,994018.584013243,171524.875036883,62455.1088385948,4,2299,11027,11548,1089,32999,47429,30208,1047,28154,33307,18027,4,2091,10327,10551,553609.259433188,888679.249080118,5,51,1,0,1.25176830453099,0.359115797719546,0.489217056569167,1,0.495,1,2.81648659986097,0,0.035834337350983,0.196667876667637,0.29562910693731,0.067283424942977,0,0.030073309096035,0.023806829694222,0.396576480921077,0.0335721944926
2021-03-20,215630.541595076,999171.0313411,172473.935406469,62694.8565253811,4,2328,11118,11608,1097,33284,47754,30342,1055,28453,33575,18136,4,2113,10419,10620,556407.699986194,893562.664881833,4,29,2,0,0.704907739738245,0.360914228945019,0.48836249751123,1,0.495,1,2.80146225713493,0,0.036562293549276,0.202936967883013,0.294426639906482,0.068678889043666,0,0.030159115234469,0.023883819688155,0.400254924923477,0.033756972056788
2021-03-21,216780.995188244,1003274.3158234,173383.341580117,62976.9915732295,4,2354,11215,11676,1106,33594,48089,30484,1059,28755,33849,18239,4,2135,10498,10682,558761.514661989,897654.129503002,1,24,0,0,0.365073395827604,0.361296760063033,0.487507938453292,1,0.495,1,2.78643791440889,0,0.036859812967165,0.206109385489009,0.292810633547734,0.069311025338415,0,0.030217762679172,0.023955561082149,0.403163209982788,0.033899950242843
