Wave,Week,week_start_date,interpolated,nQ16_r1,nQ16_r2,nQ16_r3,nQ16_r4,nQ16_r5,nQ16_r6,nQ16_r7,nQ16_r8,nQ16_r9,nQ16_r10,nQ16_r11,nQ16_r12,nQ16_r13,nQ16_r14,nQ16_r15,nQ16_r16,tQ18_0_0,nQ23_0_0,nQ23_1_0,nQ23_2_0,nQ23_3_0,nQ23_4_0,nQ23_5_0,nQ23_6_0,nQ23_7_0,nQ23_8_0,nQ23_9_0,nQ23_10_0,nQ23_11_0,nQ23_12_0,nQ23_13_0,PAQ_nakupovani,PAQ_park_mesto,PAQ_MHD,PAQ_HO,PAQ_partHO,PAQ_work,Contacts,,Fear,Median
13,39,21.09.2020,0,0.328511096166236,0.766984386930244,0.748561207439102,0.36319473031599,0.262064672768627,0.59577712123881,0.109712878214436,0.075973034805351,0.028826869606205,0.095371008581042,0.198322586954172,0.031649132809647,0.24558954949379,0.11064947062684,0.022698777889401,0.100770499788748,21.8988533608168,0.554185567615239,0.573645498894093,0.822346112445681,0.577726429778837,0.699591574256477,0.443843320249228,0.461099063916812,0.468741968997065,0.445396919558555,0.611733535928897,0.375752856634553,0.435206177829901,0.033590125198893,0.178777282227306,0.77,0.25,0.33,0.094805094059127,0.08,0.78,21.89885336,,,12
14,40,28.09.2020,0,0.350589590839454,0.796761593007191,0.781606568068452,0.352142141371194,0.283565857483462,0.613376612048509,0.081902014287357,0.070206897676059,0.029404017036383,0.102331276617906,0.185241365439748,0.046650176178281,0.29207445530652,0.132344501524281,0.020145229260622,0.070649878236223,21.1176849424528,0.571338552605476,0.639275168552372,0.85990897254277,0.652579812184189,0.721915582666929,0.486624333639908,0.495937575956401,0.512836470035538,0.51184436337401,0.651672246823889,0.396150460589087,0.45083025521268,0.028663107266299,0.248331069836167,0.77,0.245,0.325,0.089267492786357,0.06,0.8,21.11768494,,0.45,11
14,41,05.10.2020,0,0.322435071779707,0.765035490749964,0.735756577722493,0.317869917222403,0.261988373600707,0.525228400114762,0.073975506899128,0.04662470283037,NA,0.080932328088277,0.162611165889099,0.038441357048275,0.235962360190755,0.103990604246315,0.018223759363424,0.060194030686307,19.8917408136904,0.571338552605476,0.639275168552372,0.85990897254277,0.652579812184189,0.721915582666929,0.486624333639908,0.495937575956401,0.512836470035538,0.51184436337401,0.651672246823889,0.396150460589087,0.45083025521268,0.028663107266299,0.248331069836167,0.77,0.24,0.32,0.100643852056698,0.08,0.79,19.89174081,,,10
15,42,12.10.2020,0,0.265007738757378,0.771404142806404,0.736171778579026,0.099410863586849,0.244116542565074,0.524706140536728,0.052126517157654,NA,NA,0.022362551731164,0.105888800421324,0.022052100865031,0.232895168765746,0.102672205488335,0.016572106327386,0.027013649218431,15.8962215431531,0.609622745043111,0.715267875316212,0.891673960902738,0.719173132424417,0.746010905591243,0.546683131671918,0.573886772017935,0.568774510893246,0.517723780152453,0.664254175754422,0.411493323980662,0.424623531569322,0.023302249852005,0.392970047994591,0.747329569441842,0.214698330634353,0.270190548306301,0.146251925377871,0.0796,0.728,15.8962215431531,,0.48,9
15,43,19.10.2020,0,0.220381096612601,0.724659138883685,0.689130519178962,0.034234602721738,0.201406764727116,0.463128319208255,0.05172200401964,NA,NA,0.01540471184826,0.083116580624922,0.019869176157107,0.189396661268706,0.095182438945557,0.017325211710416,0.014882568341264,14.5218023625341,0.609622745043111,0.715267875316212,0.891673960902738,0.719173132424417,0.746010905591243,0.546683131671918,0.573886772017935,0.568774510893246,0.517723780152453,0.664254175754422,0.411493323980662,0.424623531569322,0.023302249852005,0.392970047994591,0.724659138883685,0.189396661268706,0.220381096612601,0.160753272076951,0.0893,0.6897,14.5218023625341,,,7
16,44,26.10.2020,0,0.230929481481032,0.742078567790151,0.713574287382691,0.023376014667846,0.207906503737004,0.520289350005909,0.052050911676577,NA,NA,0.014784336951471,0.092438932670592,0.027624617194661,0.221881486595944,0.106260453628071,0.016678447923183,0.02915494277498,13.265306319,0.600480262875474,0.681032390243539,0.889526375498719,0.714997794472018,0.729859196447988,0.544198459185661,0.580164435555512,0.565259050643881,0.513738326339829,0.666308192082983,0.430240969007341,0.433254088946886,0.020898214795805,0.374163173121638,0.734277506444464,0.190522893040004,0.224257418327925,0.163825463923238,0.088,0.6541,13.265306319,,0.43,9
16,45,02.11.2020,0,0.228133740043249,0.743895874005242,0.698463972132799,0.01530705172613,0.197775945004969,0.489772239703448,0.046080926497757,NA,NA,0.011987193557043,0.085858555159463,0.020202552209022,0.191649124811303,0.084963431931664,NA,NA,12.916212232574,0.600480262875474,0.681032390243539,0.889526375498719,0.714997794472018,0.729859196447988,0.544198459185661,0.580164435555512,0.565259050643881,0.513738326339829,0.666308192082983,0.430240969007341,0.433254088946886,0.020898214795805,0.374163173121638,0.743895874005242,0.191649124811303,0.228133740043249,0.161296724858888,0.088,0.6633,12.916212232574,,,6
17,46,09.11.2020,0,0.248314341863467,0.749654474041766,0.74402354146574,0.029186369452722,0.228153152223208,0.558078344754634,0.0454794262877,NA,NA,0.015469745727223,0.091634224353531,0.021547511842479,0.222308785593953,0.087115657711283,0.014542703967756,0.028430882426271,14.2759108529858,0.580671686960706,0.671272868893886,0.882379053067593,0.689283442186731,0.725974176753409,0.539304517163213,0.558845416010375,0.560603007799364,0.49439572651352,0.637448049250188,0.392116777073119,0.438805677406436,0.027420609440224,0.334345956045289,0.742969906274916,0.196616059183083,0.235440330751784,0.157211433324635,0.0934,0.6694,14.2759108529858,,0.39,7
17,47,16.11.2020,0,0.242746921460319,0.742043938544589,0.718686768855976,0.02770424009842,0.20609286593229,0.540984006260036,0.055644862052174,NA,NA,0.010514802722141,0.082754278434484,0.021501254471375,0.201582993554863,0.078426973291305,0.013240414290585,0.03020694453307,14.4355160344621,0.580671686960706,0.671272868893886,0.882379053067593,0.689283442186731,0.725974176753409,0.539304517163213,0.558845416010375,0.560603007799364,0.49439572651352,0.637448049250188,0.392116777073119,0.438805677406436,0.027420609440224,0.334345956045289,0.742043938544589,0.201582993554863,0.242746921460319,0.153813497973524,0.0976,0.6694,14.4355160344621,,,8
18,48,23.11.2020,0,0.276942216083761,0.772990389410805,0.742105362152134,0.049910810581296,0.239006590822296,0.566724869167476,0.043346153021004,NA,NA,0.018067177679377,0.097797153419505,0.023039078301916,0.206282121530833,0.073705569164191,0.012388102794889,0.037315851162142,14.8908635403767,0.573489926088618,0.641589018799534,0.862601417004789,0.653514999776451,0.720165935523373,0.530331806935542,0.536508715866404,0.542570700272868,0.468511572780018,0.627530994326112,0.389452500643735,0.425647199426458,0.034390311794728,0.281681222217804,0.772990389410805,0.206282121530833,0.276942216083761,0.132189604282113,0.081378431781318,0.718976106936212,14.8908635403767,,0.41,8
18,49,30.11.2020,0,0.284673522763442,0.759420603065592,0.71382626854269,0.168872561569979,0.239201032493105,0.572610913529597,0.056462663383396,NA,NA,0.042353661710635,0.119033241308278,0.019405041410757,0.200051555921153,0.060644744882058,0.012780282252747,0.040693382936841,15.9811744063256,0.573489926088618,0.641589018799534,0.862601417004789,0.653514999776451,0.720165935523373,0.530331806935542,0.536508715866404,0.542570700272868,0.468511572780018,0.627530994326112,0.389452500643735,0.425647199426458,0.034390311794728,0.281681222217804,0.759420603065592,0.200051555921153,0.284673522763442,0.130773084582951,0.087427123334754,0.736579852500304,15.9811744063256,,,10
19,50,07.12.2020,0,0.285871327716674,0.791669866609974,0.749007546632828,0.227355459689313,0.256883832394054,0.594010568552266,0.056434907820494,NA,NA,0.054896645677641,0.140333483548703,0.034333636685934,0.212547752028697,0.063949556912551,0.013322737054262,0.042997079461628,16.1411169692591,0.567289930931163,0.635494270320033,0.865102348787218,0.664087085132803,0.717472884330704,0.516281137270281,0.541894900484246,0.565052476018063,0.4952301278128,0.624115103414285,0.390868451854461,0.426945196043471,0.036833006915718,0.304873038254414,0.791669866609974,0.212547752028697,0.285871327716674,0.125929087446922,0.08089815175401,0.74721429037313,16.1411169692591,,0.45,9
19,51,14.12.2020,0,0.275909373981703,0.779476001598572,0.746457769635987,0.194097142595414,0.225550890397641,0.549473515135293,0.049548116843621,NA,NA,0.046755136493916,0.14285747189394,0.03015428203808,0.192654050557023,0.056243536115992,0.012908442327458,0.04227332074001,16.1613272936655,0.567289930931163,0.635494270320033,0.865102348787218,0.664087085132803,0.717472884330704,0.516281137270281,0.541894900484246,0.565052476018063,0.4952301278128,0.624115103414285,0.390868451854461,0.426945196043471,0.036833006915718,0.304873038254414,0.779476001598572,0.192654050557023,0.275909373981703,0.132074552405212,0.088464750714969,0.720141800930795,16.1613272936655,,,9
20,52,21.12.2020,0,0.232769729887909,0.736561157134305,0.736007496405842,0.040140166408804,0.153166486181269,0.709628101136546,0.068722573131176,NA,NA,0.018012563007129,0.096421439480627,0.029335259640708,0.232701742248267,0.069385817507738,0.015455112905595,0.06440485030635,13.3482993430417,0.576339025029401,0.641432977414204,0.855447597601061,0.644475851265513,0.702534658937529,0.531663134915187,0.544646294876434,0.559744708755878,0.472798863692506,0.607552432018201,0.396316510609585,0.430986761058037,0.032852780910975,0.341574404620583,0.703800978402454,0.194778701906836,0.222502716449377,0.106825786528603,0.104060108457678,0.495946672892111,13.3482993430417,,0.45,8
