Date,0,20,65,80,all
04.06.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
05.06.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
06.06.2021,0,0.07907513511368,0.9,0.891511908002721,0.226179885879282
07.06.2021,0,0.07907513511368,0.9,0.891511908002721,0.228971062399926
08.06.2021,0,0.083757957654104,0.9,0.891511908002721,0.231529657614468
09.06.2021,0,0.088050573063363,0.9,0.891511908002721,0.233875033213673
10.06.2021,0,0.091985464905742,0.9,0.891511908002721,0.236024944108995
11.06.2021,0,0.095592421014054,0.9,0.891511908002721,0.237995699110496
12.06.2021,0,0.098898803062781,0.9,0.891511908002721,0.239802241265823
13.06.2021,0,0.101929681354649,0.9,0.891511908002721,0.242644031334946
14.06.2021,0,0.106697419436571,0.9,0.891511908002721,0.248412381682746
15.06.2021,0,0.116375116576094,0.9,0.891511908002721,0.253700021662738
16.06.2021,0,0.125246314617787,0.9,0.891511908002721,0.258547051311028
17.06.2021,0,0.133378290335997,0.9,0.891511908002721,0.262990142852881
18.06.2021,0,0.140832569586153,0.9,0.891511908002721,0.267062963822779
19.06.2021,0,0.147665637183235,0.9,0.891511908002721,0.270796388624435
20.06.2021,0,0.153929291840999,0.9,0.891511908002721,0.274685490524119
21.06.2021,0,0.160454129630063,0.9,0.891511908002721,0.277991771191139
22.06.2021,0,0.166001154520098,0.9,0.891511908002721,0.281022500573455
23.06.2021,0,0.171085880534546,0.9,0.891511908002721,0.28380070666571
24.06.2021,0,0.175746942281996,0.9,0.891511908002721,0.286347395583611
25.06.2021,0,0.180019582217159,0.9,0.891511908002721,0.288681824718656
26.06.2021,0,0.183936108918985,0.9,0.891511908002721,0.29082171965447
27.06.2021,0,0.187526261016301,0.9,0.891511908002721,0.291711099653739
28.06.2021,0,0.189018394773079,0.9,0.891511908002721,0.292233137515559
29.06.2021,0,0.189894229980278,0.9,0.891511908002721,0.292711676908761
30.06.2021,0,0.190697086782918,0.9,0.891511908002721,0.293150338465555
01.07.2021,0,0.191433039600871,0.9,0.891511908002721,0.293552434850245
02.07.2021,0,0.192107646169006,0.9,0.891511908002721,0.293921010928714
03.07.2021,0,0.192726014930475,0.9,0.891511908002721,0.294258894650512
04.07.2021,0,0.193292890402799,0.9,0.891511908002721,0.294687413210418
,0,0.194011826076152,0.9,0.891511908002721,0.295080245099584
,0,0.194670889382102,0.9,0.891511908002721,0.295440320020528
,0,0.195274995551513,0.9,0.891511908002721,0.295770401641528
,0,0.195828781255702,0.9,0.891511908002721,0.296072961731875
,0,0.19633639344018,0.9,0.891511908002721,0.296350306026619
,0,0.19680170049091,0.9,0.891511908002721,0.296604568870273
,0,0.197228283247912,0.9,0.891511908002721,0.299442877504725
,0,0.201990180444949,0.9,0.891511908002721,0.302303391612763
,0,0.206789332287639,0.9,0.891511908002721,0.304925507674955
,0,0.211188518117996,0.9,0.891511908002721,0.307329109602177
,0,0.215221097641274,0.9,0.891511908002721,0.309532407574982
,0,0.218917622505972,0.9,0.891511908002721,0.311552109434139
,0,0.222306123849775,0.9,0.891511908002721,0.311739766732352
,0,0.222620960915596,0.9,0.891511908002721,0.314598103333112
,0,0.227416459503078,0.9,0.891511908002721,0.317511480611588
,0,0.232304301130972,0.9,0.891511908002721,0.320182068862559
,0,0.23678480989326,0.9,0.891511908002721,0.322630081535905
,0,0.24089189837054,0.9,0.891511908002721,0.324874093153141
,0,0.244656729474715,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
,0,0.248107869208357,0.9,0.891511908002721,0.326931130358982
