Date,RA,RS,R,D,H,HC,I,Contacts,gammared,Calls,Positivity,Parks,Pdet,Dayadjust
12/07/2020,4373.74727095586,8930.25272904414,13304,352,1290,367,13.5714285714286,1.01752841147438,0.483273481288326,952.142857142857,0.023570944620761,88.3877551020408,0.1471875,0.894525923620833
13/07/2020,4392.83499025411,8975.16500974589,13368,353,1297,372,13.2857142857143,1.01478990885256,0.482160489441502,815.285714285714,0.0246698230750062,89.0204081632653,0.16354839,0.61899856361422
14/07/2020,4436.11230117848,9034.88769882152,13471,355,1300,372,13,1.01205140623074,0.481047497594677,782.857142857143,0.0269601600873204,89.6530612244898,0.17,1.10867936803046
15/07/2020,4488.83361265389,9116.16638734611,13605,355,1317,372,13.2857142857143,1.00931290360892,0.479934505747853,782.285714285714,0.0269110480762237,90.2857142857143,0.17233333,0.995876571767223
16/07/2020,4529.38561265389,9212.61438734611,13742,355,1322,376,14.7142857142857,1.0065744009871,0.478821513901029,745.428571428571,0.0279946261936749,90.5918367346939,0.17966667,1.1568781789366
17/07/2020,4595.80897031812,9276.19102968188,13872,358,1327,378,16.1428571428571,1.00383589836529,0.477708522054204,680.857142857143,0.0297557262473185,90.8979591836735,0.16514286,1.28127921643273
18/07/2020,4650.73952587368,9334.26047412632,13985,358,1330,377,16.4285714285714,1.00109739574347,0.47659553020738,635.714285714286,0.032561529033754,91.2040816326531,0.2116129,1.10350558484789
19/07/2020,4686.45381158796,9388.54618841204,14075,359,1335,378,18,0.998358893121648,0.475482538360556,619.571428571429,0.0341078993271866,91.5102040816327,0.21911765,0.884768951088764
20/07/2020,4753.42739649362,9474.57260350638,14228,359,1335,377,18.7142857142857,0.99562039049983,0.474369546513731,643.142857142857,0.0360754304454769,91.8163265306122,0.23114286,0.618698143980509
21/07/2020,4847.91327219984,9606.08672780016,14454,360,1344,382,18.8571428571429,0.992881887878011,0.473256554666907,595.428571428571,0.0388769525579235,92.1224489795918,0.26027778,1.19695337019867
22/07/2020,4954.14054492711,9745.85945507289,14700,364,1367,385,18.4285714285714,0.990143385256193,0.472143562820083,560.285714285714,0.0382846663845394,92.4285714285714,0.27513514,1.11610270600207
23/07/2020,5074.52352365051,9855.47647634949,14930,365,1371,385,19.7142857142857,0.987404882634374,0.471030570973258,581.857142857143,0.0389592044298791,96.1836734693878,0.27105263,1.0568356581467
24/07/2020,5208.16986511393,10002.8301348861,15211,369,1384,385,20.8571428571429,0.986136423886395,0.470268073690157,611.142857142857,0.0392384747357352,99.9387755102041,0.245,1.08327546347813
25/07/2020,5257.29486511393,10084.7051348861,15342,371,1387,384,22.1428571428571,0.984867965138417,0.469505576407055,620,0.0388915256024891,103.693877551021,0.21240741,1.19443784600134
26/07/2020,5309.29486511393,10144.7051348861,15454,372,1390,385,23.4285714285714,0.983599506390437,0.468743079123954,643.285714285714,0.0392434744518024,107.448979591837,0.20327586,0.840874110310826
27/07/2020,5386.99574487932,10259.0042551207,15646,374,1412,390,25.4285714285714,0.982331047642459,0.467980581840852,708.571428571429,0.0384464783906808,111.204081632653,0.18575758,0.777178633951064
28/07/2020,5485.3262533539,10443.6737466461,15929,376,1429,393,26.4285714285714,0.98106258889448,0.46721808455775,754.714285714286,0.0348815475912341,114.95918367347,0.16094595,1.08521021409775
29/07/2020,5607.53801805978,10615.4619819402,16223,378,1444,394,27.5714285714286,0.979794130146501,0.466455587274649,790.571428571429,0.03366690816881,118.714285714286,0.14096386,1.09731351007309
30/07/2020,5706.44186421363,10794.5581357864,16501,380,1458,399,30.7142857142857,0.978525671398522,0.465693089991547,784.428571428571,0.0327752364879868,120.612244897959,0.1386747,1.16900914914069
31/07/2020,5789.90886928977,10914.0911307102,16704,382,1459,401,33,0.979606741257245,0.464930592708446,807.142857142857,0.0322762081945226,122.510204081633,0.1512,1.16137685328482
01/08/2020,5838.51998040088,10990.4800195991,16829,384,1468,402,35.2857142857143,0.980687811115969,0.464168095425344,820.142857142857,0.0318129305549613,124.408163265306,0.13924051,0.946482287628888
02/08/2020,5879.34976763492,11050.6502323651,16930,386,1468,403,35.4285714285714,0.981768880974692,0.463405598142243,821.285714285714,0.0310984060984061,126.30612244898,0.14960526,0.637858967179863
03/08/2020,5960.80984368055,11177.1901563194,17138,388,1482,402,35.2857142857143,0.982849950833416,0.462643100859141,826,0.0296199499074377,128.204081632653,0.16575758,0.752080598109862
04/08/2020,6056.56539923611,11359.4346007639,17416,390,1498,396,35.1428571428571,0.98393102069214,0.46188060357604,833.142857142857,0.0316689043752531,130.102040816327,0.17666667,1.25529471541178
05/08/2020,6142.94430548611,11516.0556945139,17659,391,1501,403,34.2857142857143,0.985012090550863,0.461118106292938,850,0.0321958581370001,132,0.20473684,1.40901533686038
06/08/2020,6231.68907536059,11629.3109246394,17861,392,1508,404,30.4285714285714,0.986093160409587,0.460355609009837,883.142857142857,0.032370351842588,129.571428571429,0.19508197,1.29114695641661
07/08/2020,6370.01862081513,11819.9813791849,18190,392,1518,405,30.4285714285714,0.98717423026831,0.459593111726735,891.285714285714,0.0318153595820755,127.142857142857,0.20048387,1.10723961286659
08/08/2020,6414.56407536059,11950.4359246394,18365,392,1527,405,28.2857142857143,0.988255300127034,0.458830614443634,865,0.0320090660280534,124.714285714286,0.22563636,0.824389094623168
09/08/2020,6450.23849396524,12032.7615060348,18483,393,1535,407,29.4285714285714,0.989336369985757,0.458068117160532,853.285714285714,0.0324789915966386,122.285714285714,0.20844828,0.579774846260024
10/08/2020,6508.89449396524,12115.1055060348,18624,393,1551,412,29.4285714285714,0.990417439844481,0.45730561987743,824.428571428571,0.0351993929685524,119.857142857143,0.19857143,0.904713845653337
11/08/2020,6611.57947565022,12301.4205243498,18913,395,1569,414,29.5714285714286,0.991498509703205,0.456543122594329,850.285714285714,0.0354606848928362,117.428571428571,0.19164179,1.26647642423488
12/08/2020,6721.74797381872,12483.2520261813,19205,395,1569,413,32,0.992579579561928,0.455780625311227,835.714285714286,0.0363916053180969,115,0.19469697,1.32816994696965
13/08/2020,6856.52535897773,12674.4746410223,19531,396,1583,415,34.8571428571429,0.993660649420652,0.455018128028126,846.571428571429,0.0364920153094892,115.836734693878,0.19606061,1.20632781731478
14/08/2020,6991.38479672873,12831.6152032713,19823,398,1610,419,35.4285714285714,0.999545665976483,0.45595727929756,870.857142857143,0.0369664964072375,116.673469387755,0.19075758,1.27083218330819
15/08/2020,7078.34425618819,12942.6557438118,20021,400,1611,422,36.8571428571429,1.00543068253231,0.456896430566994,893.571428571429,0.0374870449183003,117.510204081633,0.17878378,0.739307458988803
16/08/2020,7128.76092285486,13013.2390771451,20142,402,1612,423,36.4285714285714,1.01131569908815,0.457835581836428,916.285714285714,0.0381726743026785,118.34693877551,0.1871831,0.553759946009371
17/08/2020,7210.7926688866,13121.2073311134,20332,406,1637,427,36.1428571428571,1.01720071564398,0.458774733105863,954.285714285714,0.0356137082448767,119.183673469388,0.19492958,0.878573329627982
18/08/2020,7307.23758414084,13305.7624158592,20613,406,1639,428,38.7142857142857,1.02308573219981,0.459713884375297,990.714285714286,0.0386672493808662,120.020408163265,0.22904762,1.33388136830653
19/08/2020,7418.76461116787,13509.2353888321,20928,409,1655,429,37.7142857142857,1.02897074875564,0.460653035644731,1027,0.0393803658081374,120.857142857143,0.22044776,1.30700181895818
20/08/2020,7501.56179426646,13673.4382057335,21175,412,1676,430,39.8571428571429,1.03485576531147,0.461592186914165,1029.42857142857,0.0400234569711186,119.102040816327,0.21271429,1.23084363812345
21/08/2020,7688.07373965895,13992.9262603411,21681,415,1688,434,40.8571428571429,1.03595808995415,0.4625313381836,1044.71428571429,0.0412712977831536,117.34693877551,0.19425,1.30452798008758
22/08/2020,7782.45590526405,14137.544094736,21920,415,1693,437,43.2857142857143,1.03706041459682,0.463470489453034,1075.42857142857,0.042049318862123,115.591836734694,0.18987952,0.734261509578969
23/08/2020,7826.78923859738,14226.2107614026,22053,418,1704,436,42,1.0381627392395,0.464409640722468,1079.85714285714,0.0427038498919015,113.836734693878,0.18494382,0.534180638888973
24/08/2020,7929.85273066087,14381.1472693391,22311,419,1717,446,41.8571428571429,1.03926506388218,0.465348791991902,1073.71428571429,0.0413293897882939,112.081632653062,0.18455556,0.854800424334677
25/08/2020,8057.55156107023,14620.4484389298,22678,421,1733,448,40.2857142857143,1.04036738852486,0.466287943261337,1029.28571428571,0.0424,110.326530612245,0.18134021,1.30847747635316
26/08/2020,8187.6869777369,14893.3130222631,23081,422,1745,452,39.5714285714286,1.04146971316753,0.467227094530771,1052.14285714286,0.0427022518765638,108.571428571429,0.18572917,1.28971337836387
27/08/2020,8256.82252760902,15042.177472391,23299,422,1768,452,35.4285714285714,1.04257203781021,0.468166245800205,1055.71428571429,0.0440344492090375,105.591836734694,0.19177083,1.16746439875459
28/08/2020,8489.29311584431,15417.7068841557,23907,422,1793,456,34.1428571428571,1.04367436245289,0.469105397069639,1084.14285714286,0.0424128509023826,102.612244897959,0.19915789,1.40407235794759
29/08/2020,8597.74048426537,15626.2595157346,24224,425,1807,458,32.8571428571429,1.04477668709556,0.470044548339073,1074.14285714286,0.0429404783793271,99.6326530612247,0.20918367,0.791688864344321
