date,R0,R20,R65,R80,D0,D20,D65,D80,HY,HO,RHY,RHO,DHY,DHO,DOY,DOO,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,REDUCTIONMED,FEAR,BETAFACTOR,ALHPA0,ALPHA20,ALPHA65,ALPHA80
2020-04-10,557.545733110505,4558.64961317365,854.211622540312,434.425689759214,0,14,38,76,304.840920764063,502.253004303971,189.051571606907,88.2769426458046,10.1040816326531,96.8918367346939,4.04897959183673,16.1959183673469,1549.11504510537,4855.71761347832,1,3,0,0,1.07122995796026,0.130255219306643,0.401344585662028,0.276190476190476,0.491428571428571,0.985253701187197,0.179,0.179,0.179,0.179
2020-04-11,563.805881184644,4627.51124198919,865.837611820857,441.580144701088,0,16,40,80,312.602866508777,513.464703713003,195.819229648794,96.0114089793899,11.1464285714286,102.103571428571,5.09132653061224,17.2382653061224,1586.46146062021,4912.27341907556,0,4,0,0,0.803757318272665,0.121164313033241,0.400036489949345,0.285714285714286,0.482857142857143,0.985253701187197,0.179,0.179,0.179,0.179
2020-04-12,578.323620352763,4724.29616977664,893.260008027302,451.258637479833,0,16,43,87,316.85721375178,526.22774544201,200.833724925826,106.040399533453,11.1464285714286,108.296428571429,5.09132653061224,21.3668367346939,1643.66997501222,5003.46846062433,0,0,0,0,0.859755242892846,0.122313984377051,0.398728394236662,0.295238095238095,0.474285714285714,0.985253701187197,0.179,0.179,0.179,0.179
2020-04-13,601.108633649338,4822.13769746194,926.767380522266,492.807779373589,0,17,48,92,320.543870403395,534.522722908145,203.568849460637,112.422356781348,12.1785714285714,117.585714285714,5.09132653061224,22.3989795918367,1722.87728376024,5119.94420724689,0,0,0,0,0.902456339245966,0.092123442474745,0.397420298523979,0.304761904761905,0.465714285714286,0.985253701187197,0.179,0.179,0.179,0.179
2020-04-14,614.963264529535,4902.06826023231,947.016456424092,519.451300297044,0,18,55,93,323.209923923947,538.521803188974,214.359092928596,123.212600249306,13.1964285714286,121.657142857143,5.09132653061224,25.4525510204082,1782.15987771634,5201.33940376663,0,0,0,0,1.19480763783968,0.102421703044751,0.396112202811296,0.314285714285714,0.457142857142857,0.985253701187197,0.179,0.179,0.179,0.179
2020-04-15,628.025957133681,4944.88486376812,957.902033594214,523.079826020418,0,18,55,93,332.246432755886,549.566425094677,223.95734203262,134.287503061642,13.1964285714286,121.657142857143,5.09132653061224,25.4525510204082,1811.82414297083,5242.06853754561,0,7,0,0,1.30251782188146,0.102942163177662,0.394804107098613,0.323809523809524,0.448571428571429,0.985253701187197,0.179,0.179,0.179,0.179
2020-04-16,634.57369593684,4974.34968838233,961.175902995794,527.172162772392,0,18,57,93,340.082210030464,560.014128127447,235.783932816654,146.958850330249,13.1964285714286,123.692857142857,5.09132653061224,25.4525510204082,1830.2583054124,5267.01314467496,1,2,0,0,1.19470408464992,0.0991044110147816,0.39349601138593,0.333333333333333,0.44,0.985253701187197,0.179,0.179,0.179,0.179
2020-04-17,642.821700429773,5014.76491039771,969.423907488727,536.244967714619,0,18,58,100,349.405531984239,571.880174250434,242.110156994797,158.205471091392,13.1964285714286,130.817857142857,5.09132653061224,26.4704081632653,1858.75910108762,5304.49638494321,0,5,0,0,1.1181844130679,0.0917622716894858,0.402073681427973,0.333333333333333,0.431428571428571,0.981038392825595,0.179,0.179,0.179,0.179
2020-04-18,655.879882350252,5054.87218343918,982.482089409206,543.706785954893,0,18,59,103,353.613005243409,580.295120768773,246.96973494868,167.92462699916,13.1964285714286,133.817857142857,5.09132653061224,27.4704081632653,1890.81978512615,5346.12115602737,0,1,0,0,0.619931236935601,0.090819047619042,0.410651351470017,0.333333333333333,0.422857142857143,0.976823084463994,0.179,0.179,0.179,0.179
2020-04-19,666.604478281805,5087.04597123384,1006.99545153847,552.899296753367,0,18,63,108,358.861683157524,596.041154511118,253.204269501294,180.393696104387,13.1964285714286,140.817857142857,5.09132653061224,29.4704081632653,1924.68020196244,5388.86499584504,0,1,0,0,0.746104458168347,0.149987314597954,0.419229021512061,0.333333333333333,0.414285714285714,0.972607776102392,0.179,0.179,0.179,0.179
2020-04-20,670.049692018457,5116.90449028482,1015.03428359066,558.641319647786,0,18,65,113,369.958241266678,610.164046650042,264.011835846413,191.201262449506,13.1964285714286,145.817857142857,5.09132653061224,31.4704081632653,1945.18475641388,5415.44502912784,0,5,1,0,0.938314424426972,0.152341881874687,0.427806691554104,0.333333333333333,0.405714285714286,0.96839246774079,0.179,0.179,0.179,0.179
2020-04-21,676.913601196694,5149.26291926794,1022.87875122293,569.427462642159,0,19,69,116,378.248787598815,638.720372905178,273.030240976882,209.238072710443,14.1964285714286,149.817857142857,5.09132653061224,34.4704081632653,1969.98689180797,5448.49584252175,0,3,0,0,1.37797011270756,0.131107685009472,0.436384361596147,0.333333333333333,0.397142857142857,0.964177159379188,0.179,0.179,0.179,0.179
2020-04-22,680.823139490647,5180.53922561956,1029.91592015204,573.337000936112,0,19,71,116,383.859516435208,644.331101741571,278.524254015552,219.227187326207,14.1964285714286,151.817857142857,5.09132653061224,34.4704081632653,1989.6211075062,5474.99417869216,0,5,0,0,1.22179583524936,0.085450774336274,0.444962031638191,0.333333333333333,0.388571428571429,0.959961851017587,0.179,0.179,0.179,0.179
2020-04-23,688.551053419644,5229.80467691691,1041.50779104554,577.20095790061,0,19,72,121,389.967238670419,655.18927460417,284.846963997711,229.501591047215,14.1964285714286,155.817857142857,5.09132653061224,36.4704081632653,2017.83382992574,5519.23064935697,1,1,0,0,1.21241447050224,0.151351351351342,0.453539701680235,0.333333333333333,0.38,0.955746542655985,0.179,0.179,0.179,0.179
