Date,RA,RS,D,I,Contacts,Masks,Dayadjust,tests,smP
18/06/2020,3132.05094882703,7036.94905117297,334,7,1.10700262424762,0.665701030505034,1.20179482370796,3574,55.4897959183672
19/06/2020,3198.84612954992,7096.15387045008,335,4.71428571428571,1.10075210010467,0.663777050219719,0.858054733726927,1699,56.6938775510204
20/06/2020,3211.769206473,7125.230793527,336,4.42857142857143,1.09450157596171,0.661853069934404,0.758642375695942,1313,57.3673469387756
21/06/2020,3230.88685353182,7156.11314646818,336,4.57142857142857,1.08825105181875,0.659929089649089,0.77269665952864,3910,58.9591836734692
22/06/2020,3239.40958080455,7172.59041919545,336,4,1.08200052767579,0.658005109363774,1.03090037259212,4567,60.8367346938776
23/06/2020,3299.50779509026,7239.49220490974,339,4.14285714285714,1.07575000353284,0.656081129078458,1.15453762067842,4287,64.4897959183675
24/06/2020,3342.771531354,7323.228468646,343,4,1.06949947938988,0.654157148793143,1.13434032539263,4047,70.1428571428571
25/06/2020,3363.15509299783,7395.84490700217,345,4.42857142857143,1.06324895524692,0.652233168507828,1.20179482370796,4533,73.5102040816328
26/06/2020,3450.31827291415,7476.68172708585,349,4.57142857142857,1.06225397495705,0.652233168507828,0.858054733726927,2554,76.8571428571429
27/06/2020,3609.03920314671,7577.96079685329,349,4.71428571428571,1.06125899466717,0.652233168507828,0.758642375695942,2423,84.8775510204081
28/06/2020,3756.28058245705,7735.71941754295,348,4.71428571428571,1.0602640143773,0.652233168507828,0.77269665952864,4485,97.7551020408165
29/06/2020,3860.04014529858,7833.95985470142,348,4.71428571428571,1.05926903408742,0.652233168507828,1.03090037259212,4412,114.551020408163
30/06/2020,3927.76741802586,7915.23258197414,349,4.85714285714286,1.05827405379755,0.652233168507828,1.15453762067842,4593,130.163265306122
01/07/2020,3963.08884659728,7971.91115340272,349,5,1.05727907350767,0.652233168507828,1.13434032539263,4665,143.510204081633
02/07/2020,4020.75874950991,8046.24125049009,353,5.14285714285714,1.0562840932178,0.652233168507828,1.20179482370796,5109,158.163265306122
03/07/2020,4068.3812660662,8139.6187339338,353,6.14285714285714,1.05166117769171,0.646832587413268,0.858054733726927,1687,171.408163265306
04/07/2020,4115.60077826132,8213.39922173868,351,6.42857142857143,1.04703826216563,0.641432006318707,0.758642375695942,1524,177.367346938775
05/07/2020,4140.21015326132,8263.78984673868,348,8.14285714285714,1.04241534663954,0.636031425224147,0.77269665952864,1714,173.428571428571
06/07/2020,4153.12154566638,8301.87845433362,350,9.28571428571429,1.03779243111345,0.630630844129586,1.03090037259212,4159,162.795918367347
07/07/2020,4207.30904566638,8366.69095433362,351,9.85714285714286,1.03316951558737,0.625230263035026,1.15453762067842,5406,151.102040816327
08/07/2020,4248.92194889219,8454.07805110781,351,12.4285714285714,1.02854660006128,0.619829681940466,1.13434032539263,4682,140.877551020408
09/07/2020,4285.35052032076,8522.64947967924,352,13.7142857142857,1.0239236845352,0.614429100845905,1.20179482370796,5333,129.30612244898
10/07/2020,4317.4374768425,8572.5625231575,352,13.5714285714286,1.02445431292175,0.614429100845905,0.858054733726927,2321,117.081632653061
11/07/2020,4348.7874768425,8655.2125231575,352,14.1428571428571,1.02498494130831,0.614429100845905,0.758642375695942,1787,107.551020408163
12/07/2020,4370.70176255679,8692.29823744321,352,13.5714285714286,1.02551556969487,0.614429100845905,0.77269665952864,4424,102.387755102041
